,totalHotWater,totalWater,totalTime,minUseWaterTime,maxUseWaterTime,recordNum,mac_set,pdate_set
42,221.27999999999997,267.05,4,2021-11-05 08:24:03+00:00,2021-11-05 08:24:25+00:00,10,0007A8E3A09E,20211105
43,188.25,376.51,4,2021-11-05 12:13:10+00:00,2021-11-05 12:13:36+00:00,11,0007A8E3A09E,20211105
44,1717.4,3591.17,22,2021-11-05 12:55:46+00:00,2021-11-05 12:56:49+00:00,12,0007A8E3A09E,20211105
45,1852.61,3872.7999999999997,45,2021-11-05 14:00:47+00:00,2021-11-05 14:02:11+00:00,13,0007A8E3A09E,20211105
46,303.96999999999997,618.4200000000001,14,2021-11-05 14:04:32+00:00,2021-11-05 14:05:14+00:00,14,0007A8E3A09E,20211105
47,4846.2300000000005,9859.560000000001,53,2021-11-05 14:07:46+00:00,2021-11-05 14:08:52+00:00,15,0007A8E3A09E,20211105
48,17763.57,36750.03,240,2021-11-05 14:10:55+00:00,2021-11-05 14:14:58+00:00,16,0007A8E3A09E,20211105
49,1726.6299999999999,3631.88,33,2021-11-05 14:16:50+00:00,2021-11-05 14:18:38+00:00,17,0007A8E3A09E,20211105
50,1756.08,3532.07,43,2021-11-05 14:46:26+00:00,2021-11-05 14:47:37+00:00,18,0007A8E3A09E,20211105
51,130.12,210.86999999999998,40,2021-11-04 21:33:07+00:00,2021-11-04 21:34:16+00:00,1,0007A8E3AA55,20211105
52,299.79,485.84999999999997,71,2021-11-04 23:36:39+00:00,2021-11-04 23:38:08+00:00,2,0007A8E3AA55,20211105
53,786.6500000000001,1307.6499999999999,132,2021-11-05 00:18:28+00:00,2021-11-05 00:21:48+00:00,3,0007A8E3AA55,20211105
54,78.66000000000001,124.77,10,2021-11-05 01:00:31+00:00,2021-11-05 01:00:55+00:00,4,0007A8E3AA55,20211105
55,89.07,138.2,31,2021-11-05 03:24:36+00:00,2021-11-05 03:25:27+00:00,5,0007A8E3AA55,20211105
56,118.51,192.05,39,2021-11-05 10:10:10+00:00,2021-11-05 10:11:55+00:00,6,0007A8E3AA55,20211105
57,1266.53,1572.24,39,2021-11-04 22:01:25+00:00,2021-11-04 22:02:06+00:00,1,0007A8E3AA57,20211105
58,1833.7599999999998,2405.86,47,2021-11-04 22:10:39+00:00,2021-11-04 22:12:40+00:00,2,0007A8E3AA57,20211105
59,1258.3100000000002,1615.77,52,2021-11-04 22:15:59+00:00,2021-11-04 22:18:41+00:00,3,0007A8E3AA57,20211105
60,1927.0700000000002,2458.67,76,2021-11-04 22:32:30+00:00,2021-11-04 22:34:25+00:00,4,0007A8E3AA57,20211105
61,1886.0600000000002,2435.26,52,2021-11-04 22:35:57+00:00,2021-11-04 22:37:35+00:00,5,0007A8E3AA57,20211105
62,1188.26,1516.04,45,2021-11-04 22:41:42+00:00,2021-11-04 22:42:53+00:00,6,0007A8E3AA57,20211105
63,265.83000000000004,329.99,11,2021-11-04 22:58:05+00:00,2021-11-04 22:59:04+00:00,7,0007A8E3AA57,20211105
64,1358.24,1686.08,33,2021-11-04 23:01:31+00:00,2021-11-04 23:02:24+00:00,8,0007A8E3AA57,20211105
65,93.54,112.89,5,2021-11-04 23:39:19+00:00,2021-11-04 23:39:30+00:00,9,0007A8E3AA57,20211105
66,679.9,820.5699999999999,16,2021-11-05 00:47:01+00:00,2021-11-05 00:47:21+00:00,10,0007A8E3AA57,20211105
67,14185.13,17594.41,298,2021-11-05 01:08:59+00:00,2021-11-05 01:14:01+00:00,11,0007A8E3AA57,20211105
68,149.45,180.37,6,2021-11-05 01:27:50+00:00,2021-11-05 01:28:05+00:00,12,0007A8E3AA57,20211105
69,381.34,460.23,15,2021-11-05 01:48:52+00:00,2021-11-05 01:49:16+00:00,13,0007A8E3AA57,20211105
70,3271.98,4030.1899999999996,89,2021-11-05 02:03:24+00:00,2021-11-05 02:06:47+00:00,14,0007A8E3AA57,20211105
71,11110.3,14427.03,350,2021-11-05 02:07:48+00:00,2021-11-05 02:13:49+00:00,15,0007A8E3AA57,20211105
72,1189.3700000000001,1473.96,40,2021-11-05 02:20:50+00:00,2021-11-05 02:23:02+00:00,16,0007A8E3AA57,20211105
73,1021.22,1232.51,35,2021-11-05 04:19:37+00:00,2021-11-05 04:20:41+00:00,17,0007A8E3AA57,20211105
74,2371.2,3011.8600000000006,76,2021-11-05 04:23:20+00:00,2021-11-05 04:28:17+00:00,18,0007A8E3AA57,20211105
75,200.41,241.87,6,2021-11-05 04:46:30+00:00,2021-11-05 04:46:40+00:00,19,0007A8E3AA57,20211105
76,588.44,730.48,26,2021-11-05 07:23:48+00:00,2021-11-05 07:24:15+00:00,20,0007A8E3AA57,20211105
77,7316.639999999999,9278.869999999999,172,2021-11-05 07:25:44+00:00,2021-11-05 07:30:50+00:00,21,0007A8E3AA57,20211105
78,542.31,691.9100000000001,24,2021-11-05 07:33:28+00:00,2021-11-05 07:34:04+00:00,22,0007A8E3AA57,20211105
79,1249.27,1550.83,46,2021-11-05 07:52:54+00:00,2021-11-05 07:55:12+00:00,23,0007A8E3AA57,20211105
80,1459.17,1811.39,54,2021-11-05 07:56:53+00:00,2021-11-05 07:57:53+00:00,24,0007A8E3AA57,20211105
81,305.87,370.74,12,2021-11-05 10:48:26+00:00,2021-11-05 10:51:04+00:00,25,0007A8E3AA57,20211105
82,8541.84,10724.73,210,2021-11-05 10:52:13+00:00,2021-11-05 10:56:34+00:00,26,0007A8E3AA57,20211105
83,1918.89,2469.67,51,2021-11-05 11:01:44+00:00,2021-11-05 11:03:32+00:00,27,0007A8E3AA57,20211105
84,1261.9299999999998,1566.52,33,2021-11-05 12:06:28+00:00,2021-11-05 12:07:19+00:00,28,0007A8E3AA57,20211105
85,3274.2300000000005,4298.5199999999995,62,2021-11-05 12:08:46+00:00,2021-11-05 12:10:04+00:00,29,0007A8E3AA57,20211105
86,7581.97,9929.18,184,2021-11-05 12:14:12+00:00,2021-11-05 12:20:24+00:00,30,0007A8E3AA57,20211105
87,3950.29,5052.43,113,2021-11-05 12:31:04+00:00,2021-11-05 12:33:45+00:00,31,0007A8E3AA57,20211105
88,1900.38,1900.38,32,2021-11-05 00:27:58+00:00,2021-11-05 00:28:40+00:00,1,0007A8E3AC51,20211105
