,statistics_dt,mac_id,wifi_type,start_time,end_time,water_qty,hotwater_qty,pdate,inc3days
63,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 11:37:09+00:00,2021-11-05 11:37:13+00:00,113.81,100.09,20211105,False
64,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 11:37:51+00:00,2021-11-05 11:38:34+00:00,4600.72,3628.73,20211105,True
65,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 11:40:00+00:00,2021-11-05 11:40:16+00:00,497.46,376.34,20211105,False
66,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 11:40:20+00:00,2021-11-05 11:40:21+00:00,88.5,67.14,20211105,True
67,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 12:06:57+00:00,2021-11-05 12:06:59+00:00,121.73,121.73,20211105,False
68,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 12:17:26+00:00,2021-11-05 12:17:35+00:00,455.08,404.51,20211105,False
69,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 12:19:13+00:00,2021-11-05 12:19:19+00:00,306.57,263.3,20211105,False
70,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 12:43:19+00:00,2021-11-05 12:43:23+00:00,201.98,194.4,20211105,False
71,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 12:43:31+00:00,2021-11-05 12:44:11+00:00,3586.37,2620.67,20211105,True
72,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 13:17:03+00:00,2021-11-05 13:17:09+00:00,438.15,418.93,20211105,False
73,20211105,0007A8DCD0F1,111c120024000810061200418003720000000000000000000000000000000000,2021-11-05 13:34:49+00:00,2021-11-05 13:38:19+00:00,22486.52,15568.16,20211105,False
